"factset_entity_id","equity_aum"
"06RKVY-E ",4
"0GBJ6F-E ",46
"0CWQ3M-E ",439
"0C7SBR-E ",477
"0HQF8C-E ",145
"0G4H1R-E ",1291
"0763YG-E ",0
"05M7YW-E ",319
"07B9G7-E ",385
"0D9VKG-E ",2270
"003RRD-E ",17549
"0H9DJZ-E ",128
"002S5Q-E ",1
"086T3B-E ",46
"002TL4-E ",13
"0090PP-E ",1230
"074QK5-E ",111
"0BM7JV-E ",16
"002T15-E ",3878
"0DBBTL-E ",0
"0CYGSS-E ",74
"05VRRL-E ",1558
"05VMDZ-E ",225
"00D152-E ",674
"00D0R5-E ",202
"00D0W5-E ",399
"00D3JM-E ",1218
"00D1FR-E ",140
"0036ND-E ",0
"07B854-E ",524
"0BTPZX-E ",4
"06FSLL-E ",79
"00FC5V-E ",1959
"0D5FXR-E ",282
"0CX1GQ-E ",65
"0CV7SM-E ",166
"0CGPFQ-E ",62
"0CL4NZ-E ",36
"0CWQ49-E ",132
"0699FZ-E ",10509
"06VHJT-E ",4
"06Y8CM-E ",633
"0D8XX0-E ",91809
"0DR92Y-E ",728
"0GN5WX-E ",1116
"0DLBVB-E ",210
"0C94NR-E ",418
"05FYY3-E ",0
"05FYQS-E ",0
"0BZSR4-E ",120
"0CR4Z3-E ",314
"0CRRN6-E ",5
"0D4K8Q-E ",476
"05W562-E ",236
"0CVQRV-E ",120
"0GZJV3-E ",150
"0GX6W6-E ",1639
"05W7Z4-E ",0
"05W9JR-E ",3
"05W8B2-E ",25
"05V7WS-E ",113
"072PYS-E ",835
"0D6P2W-E ",2803
"05K846-E ",231
"000XTG-E ",0
"05K9Q7-E ",11428
"000TGV-E ",52643
"002KQD-E ",7955
"05M84H-E ",25
"0DJ92G-E ",622
"05SV6N-E ",99
"05T09G-E ",149
"05W3WX-E ",992
"06NCVP-E ",2
"0C9QMS-E ",16
"0CSDRP-E ",324
"0G5GGQ-E ",3
"05GH12-E ",16
"06G8BQ-E ",0
"0C23CS-E ",126
"0C23KM-E ",353
"0C240Y-E ",172
"0G3YM0-E ",7
"090MD9-E ",2
"0GQZJZ-E ",16
"0GRG9W-E ",98
"0C1GPZ-E ",35
"002XG1-E ",4930
"001XF9-E ",1835
"0010BL-E ",2634
"002Y15-E ",72
"0CF0ZH-E ",12
"05NC1X-E ",53
"0CY9T0-E ",112
