factset_entity_id,Name,Position,Style,Turnover,EquityAssets,QualityRating,Style Desktop,Turnover Desktop,AUM Desktop,Equity AUM Desktop,Quality Rating Desktop,Targeting_Score Desktop,Position Desktop,STYLE MATCH,TURNOVER MATCH,POSITION MATCH,QR MATCH
009S8T-E,"Ameritas Investment Partners, Inc.",16800,GARP,Very Low,2188.022213,61,GARP,Very Low,18210,2104,61,69,16800,TRUE,TRUE,TRUE,TRUE
009SF1-E,Managed Account Advisors LLC,2990481,GARP,Low,245383.2238,90,GARP,Low,342375,230890,90,85,2990481,TRUE,TRUE,TRUE,TRUE
009TC5-E,Nationwide Fund Advisors,0,GARP,Very Low,960.577306,82,GARP,Very Low,70765,900,82,92,0,TRUE,TRUE,TRUE,TRUE
009VM4-E,3G Capital Partners LP (New York),0,Hedge Fund,Medium,1397.738452,40,Hedge Fund,Medium,45672,865,40,47,0,TRUE,TRUE,TRUE,TRUE
009X9F-E,Renaissance Investment Group LLC,39549,GARP,Very Low,250.941969,61,GARP,Very Low,328,267,61,73,39549,TRUE,TRUE,TRUE,TRUE
009XQF-E,Cubic Asset Management LLC,0,GARP,Very Low,346.060093,58,GARP,Very Low,652,337,58,70,0,TRUE,TRUE,TRUE,TRUE
009XTD-E,Athena Capital Advisors LLC,0,Yield,Medium,476.874429,44,Yield,Medium,5823,0,44,21,0,TRUE,TRUE,TRUE,TRUE
009YY7-E,Vigilant Capital Management LLC,1016,GARP,Very Low,723.489113,57,GARP,Very Low,1087,721,57,58,1016,TRUE,TRUE,TRUE,TRUE
009Z3C-E,ELM Advisors LLC,0,GARP,Very Low,153.710435,53,GARP,Very Low,311,146,53,50,0,TRUE,TRUE,TRUE,TRUE
009Z41-E,Birch Hill Investment Advisors LLC,9407,GARP,Very Low,1322.10601,74,GARP,Very Low,1583,1313,74,63,9407,TRUE,TRUE,TRUE,TRUE
009ZPD-E,"Financial Architects, Inc.",1056,Yield,Very Low,581.503993,56,Yield,Very Low,904,540,56,37,1056,TRUE,TRUE,TRUE,TRUE
009ZPJ-E,Apriem Advisors,0,Yield,Medium,475.183275,51,Yield,Medium,649,341,51,53,0,TRUE,TRUE,TRUE,TRUE
009ZY2-E,Turtle Creek Management LLC,1150,Yield,Very Low,1875.064364,75,Yield,Very Low,2617,1844,75,64,1150,TRUE,TRUE,TRUE,TRUE
009ZZY-E,Weiss Asset Management LP,1130,Hedge Fund,High,1913.677943,27,Hedge Fund,High,3040,766,27,8,1130,TRUE,TRUE,TRUE,TRUE
00B01D-E,Spears Abacus Advisors LLC,5325,GARP,Very Low,822.743386,69,GARP,Very Low,1314,790,69,64,5325,TRUE,TRUE,TRUE,TRUE
00B07H-E,WhaleRock Point Partners LLC,0,GARP,Very Low,158.918655,54,GARP,Very Low,696,151,54,57,0,TRUE,TRUE,TRUE,TRUE
00B0TT-E,WealthTrust Fairport LLC,30673,GARP,Very Low,1063.094274,64,GARP,Very Low,1775,989,64,79,30673,TRUE,TRUE,TRUE,TRUE
00B0V7-E,"First City Capital Management, Inc.",1300,Yield,Very Low,142.236477,53,Yield,Very Low,384,138,53,53,1300,TRUE,TRUE,TRUE,TRUE
00B130-E,Northwest Investment Counselors LLC,0,GARP,Very Low,261.862616,58,GARP,Very Low,397,246,58,59,0,TRUE,TRUE,TRUE,TRUE
00B346-E,LPL Financial LLC,37334,Index,Very Low,44596.29738,84,Index,Very Low,159099,663,84,,37334,TRUE,TRUE,TRUE,TRUE
00B3VC-E,Asset Management Advisors LLC,0,GARP,Very Low,132.434466,62,GARP,Very Low,154,114,62,70,0,TRUE,TRUE,TRUE,TRUE
00B4HZ-E,Global X Management Co. LLC,11785,Value,Medium,12243.44966,71,Value,Medium,,9975,71,83,11785,TRUE,TRUE,TRUE,TRUE
00B59G-E,Montecito Bank & Trust (Invt Mgmt),0,GARP,Very Low,336.348351,53,GARP,Very Low,,293,53,58,0,TRUE,TRUE,TRUE,TRUE
00B6N0-E,Plante Moran Financial Advisors LLC,534,GARP,Very Low,327.115434,53,GARP,Very Low,14337,320,53,50,534,TRUE,TRUE,TRUE,TRUE
00BCGS-E,Greenwich Wealth Management LLC,0,GARP,Very Low,580.021773,64,GARP,Very Low,1354,425,64,80,0,TRUE,TRUE,TRUE,TRUE
00BDYW-E,EquityCompass Investment Management LLC,0,GARP,Medium,130.440902,44,GARP,Medium,168,109,44,53,0,TRUE,TRUE,TRUE,TRUE
00BJ81-E,Cerebellum GP LLC,1178,Hedge Fund,High,169.17411,12,Hedge Fund,High,391,152,12,,1178,TRUE,TRUE,TRUE,TRUE
00BMFP-E,"Benjamin F. Edwards & Co., Inc.",538,GARP,Very Low,546.762449,55,GARP,Very Low,6461,20,55,41,538,TRUE,TRUE,TRUE,TRUE
00BPQ7-E,"Strategic Financial Services, Inc. (New York)",0,GARP,Low,750.997541,64,GARP,Low,1158,646,64,52,0,TRUE,TRUE,TRUE,TRUE
00BQDB-E,Parkside Financial Bank & Trust,568,GARP,Very Low,302.095878,53,GARP,Very Low,,272,53,47,568,TRUE,TRUE,TRUE,TRUE
00BQT2-E,Arrowgrass Capital Partners (US) LP,77000,Hedge Fund,High,2477.307669,33,Hedge Fund,High,16256,1628,33,31,77000,TRUE,TRUE,TRUE,TRUE
00BQTC-E,LS Investment Advisors LLC,33876,GARP,Very Low,1626.623398,61,GARP,Very Low,5561,1577,61,75,33876,TRUE,TRUE,TRUE,TRUE
00BQTG-E,Palladium Partners LLC,0,GARP,Very Low,1405.210326,70,GARP,Very Low,2244,1367,70,79,0,TRUE,TRUE,TRUE,TRUE
