FactSetEntityId,Style,TurnoverLabel,TotalAUM
0026D8-E,Value,Very Low,224
0026MR-E,,,NULL
0026MZ-E,,,NULL
0026PX-E,Aggressive Growth,Low,NULL
0026YR-E,,,NULL
0027L0-E,,,NULL
0027L1-E,,,NULL
0027V1-E,,,NULL
0027V8-E,,,NULL
0027WG-E,,,NULL
0027YF-E,,,NULL
00285H-E,,,NULL
002888-E,,,NULL
0028F4-E,Aggressive Growth,Medium,158
0028JC-E,,,NULL
0028KG-E,,,NULL
0028LG-E,,,NULL
0028LW-E,,,NULL
00290F-E,Aggressive Growth,,NULL
00298F-E,,,NULL
0029CF-E,,,405
0029RK-E,,,NULL
0029TB-E,,,NULL
0029VD-E,,,NULL
0029VF-E,,,55
0029W3-E,Growth,Medium,502
0029XN-E,,,3000
002B0Y-E,,,NULL
002B2S-E,GARP,,NULL
002B2T-E,,,NULL
002B3Q-E,Growth,Very Low,NULL
002B44-E,,,NULL
002B6L-E,,,NULL
002B7K-E,Growth,Medium,1700
002BB8-E,Index,,NULL
002BFN-E,GARP,Very Low,NULL
002BJJ-E,,,NULL
002BJN-E,Index,,NULL
002BRP-E,Growth,Very Low,NULL
002BS9-E,Growth,Low,2758
002BSH-E,Growth,Very Low,102955
002BVF-E,,,NULL
002BWL-E,,,NULL
002BX9-E,Yield,,NULL
002BY9-E,,,25320
002BZT-E,GARP,Very Low,NULL
002C18-E,,,NULL
002C1K-E,Growth,Medium,NULL
002C2Z-E,Growth,Low,159307
002C4W-E,,,NULL
002C68-E,,,NULL
002C9T-E,,,NULL
002CBF-E,Yield,Low,2163
002CCB-E,Growth,,2285
002CDB-E,Growth,Low,118946
002CH3-E,Growth,Low,25107
002CHW-E,Growth,Medium,3428
002CM4-E,Growth,Very Low,1048
002CS4-E,,,NULL
002CS5-E,Value,Very Low,18699
002CT0-E,GARP,Very Low,1054
002CV8-E,,,NULL
002CVM-E,,,NULL
002CYG-E,,,NULL
002CZ9-E,Aggressive Growth,High,NULL
002D0Q-E,,,NULL
002D10-E,,,NULL
002D1M-E,,,NULL
002D46-E,Deep Value,Low,7646
002D5P-E,,,NULL
002D5Y-E,Growth,Very Low,NULL
002D6G-E,Growth,Low,4339
002D80-E,,,NULL
