factset_entity_id,name,ManagerStyle,InstitutionFixedStyle
003RGV-E,Creststreet Asset Management Ltd.,NULL,
003RV0-E,Brencourt Advisors LLC,NULL,GARP
003S0N-E,Pinnacle Investments LLC,NULL,
003S2M-E,Roberts Mitani LLC,NULL,
0044MT-E,BNP Paribas Securities Corp.,Broker/Dealer,
0044VV-E,Citigroup Alternative Investments LLC,NULL,GARP
00450X-E,Allstate Investments LLC,NULL,
00494L-E,Magee Thomson Investment Partners LLC,NULL,Aggressive Growth
0049F1-E,FrontPoint Partners LP,NULL,
0049GZ-E,Inference Group LLC,NULL,
004B84-E,Crescendo Advisors II LLC,NULL,Deep Value
004DJT-E,Batterson Venture Partners LLC,NULL,
004HVM-E,Wells Fargo Private Investment Advisors LLC,NULL,
05NYFD-E,"Alpha Investment Advisors, Inc.",NULL,
05NYPG-E,Skymoon Ventures,NULL,
05P0BL-E,Tangent Fund Management LLC,NULL,
05P1ZR-E,Foresight Group LLP,NULL,
05P20B-E,Salem Investment Partners,NULL,
05PD1C-E,Andover Equity Associates Corp.,NULL,
05PFW4-E,"Andrews Capital Management, Inc.",NULL,
05PJ71-E,Stargate Capital Management Ltd.,NULL,
05PNG5-E,Dunlap Equity Management LLC,NULL,
07S6ZY-E,Berenberg Bank,NULL,
09GHMQ-E,Univer Capital LLC,NULL,
09GKTT-E,HB Reavis Slovakia as,NULL,
09GMSK-E,Oriel Asset Management LLP,NULL,Yield
09GV46-E,Pioneer Alternative Investment Management Ltd. (Switzerland),NULL,
09GXF7-E,Founders Capital Partners LP,NULL,
09GZSF-E,Camelot Venture Group LLC,NULL,
09H9K8-E,PineBridge Investments Management Taiwan Ltd.,NULL,Yield
09HD0K-E,Granite Capital Partners LLC (Connecticut),NULL,
09HW1Z-E,"Huber, Reuss & Kollegen Vermogensverwaltung GmbH",NULL,GARP
09HXFV-E,Sandpiper Capital Management (Private Equity),NULL,
09J0N7-E,TOP Vermogen AG,NULL,GARP
