Factset Fund ID,Fund Name,Discrepancy Column
04BG0G-E,Hirtle Callaghan Value Equity Portfolio,
04CSTR-E,Ishares Plc - Msci World Ucits Etf,
04HYDC-E,Xtrackers (ie) Plc - Msci World Ucits Etf,
04C7R7-E,Federated Insurance Ser. - Kaufmann Ii Fund,
04CB5H-E,Janus Henderson Capital Funds Plc - Us Research Fund,
04CYHK-E,Gs Funds - Global Small Cap Core Equity Portfolio,
04BYFT-E,Dfa Tax Managed Us Equity Portfolio,
04D0DK-E,Mainstay Mackay Us Equity Opportunities Fund,
04JCFN-E,Ishares Russell Mid Cap Index Fund,
04J4FS-E,Ftif Sicav - Franklin K2 Alternative Strategies Fund,
04BPSM-E,Janus Henderson Capital Funds Plc - Global Technology Fund,
04BPZR-E,Spdr Portfolio Total Stock Market Etf,
04FVP1-E,Vanguard Russell 1000 Index Fund,
04CSZS-E,Nomura Asset Foreign Equity Msci Kokusai Mother Fund,
04F98D-E,Threadneedle (lux) - Global Technology,
04CWJW-E,Pictet - Us Equity Selection,
04CCNV-E,Ubs Investment Funds Icvc - Us Equity Fund,
04HL31-E,Actiam Responsible Index Fund Equity Na - B (fgr),
04GHSQ-E,Actiam Responsible Index Fund Equity Na (fbi),
04GQY3-E,Ast Jpmorgan Global Thematic Portfolio,
04K8CD-E,Goldman Sachs Etf Tr. - Hedge Industry Vip Etf,
04H1NX-E,Global Atlantic Wellington Research Managed Risk Portfolio,
04BCPV-E,Putnam Variable Trust - Global Equity Fund,
04BYYH-E,Fidelity Vip - Technology Portfolio,
04CC0D-E,Blackrock Isf - Ishares North America Index Fund (ie),
04CPVS-E,Klp Aksjeglobal Indeks I,
04G656-E,Aqr Multi-strategy Alternative Fund,
04FJ0L-E,Ctivp-los Angeles Capital Large Cap Growth Fund,
04JRC3-E,Sa Blackrock Vcp Global Multi Asset Portfolio,
04BNXG-E,Vanguard Growth & Income Fund,
04JJ2K-E,John Hancock Multifactor Mid Cap Etf,
04L07K-E,Fidelity Zero Total Market Index Fund,
