FactSet Entity ID,Institution_name,Discrepancy_Column
002H43-E,"PanAgora Asset Management, Inc.",
07HTQ0-E,Barclays Bank Plc (Investment Management),Incorrect: eaum 
05FY88-E,Renaissance Capital LLC,Incorrect: aum eaum 
0DB9DH-E,Manulife Asset Management Ltd.,
0FRMWL-E,"ZB, NA (Private Banking)",
00DGXD-E,Ibex Investors LLC,
00361Y-E,UBS AG (New York),
069ZPJ-E,CapFinancial Partners LLC,
00CDLB-E,Virtu Financial BD LLC,
003RRD-E,Susquehanna Financial Group LLLP,Incorrect: eaum 
0C83PZ-E,Addison Capital Co.,
003F7L-E,Sheets Smith Wealth Management,
0DVJ4H-E,BlackRock Asset Management Schweiz AG,
00CGZD-E,Two Sigma Securities LLC,
000BL3-E,"Advisory Research, Inc.",
002J8Y-E,"Empiric Advisors, Inc.",Incorrect: eaum 
0071NH-E,MML Investors Services LLC,
05VRNL-E,BlueCrest Capital Management (UK) LLP,
001JWR-E,SunAmerica Asset Management LLC,
09CG0R-E,Sparinvest SA (Denmark),Incorrect: eaum 
0G2DKB-E,Bayesian Capital Management LP,
006TW3-E,Morgan Stanley AIP GP LP,
0H28MQ-E,"Global Wealth Management Investment Advisory, Inc.",
07QM1L-E,Tower Research Capital LLC,
00FYV6-E,Landscape Capital Management LLC,
05SP7S-E,Banque Cantonale Vaudoise (Investment Management),Incorrect: eaum 
05P8JC-E,Degroof Petercam Asset Services SA,Incorrect: eaum 
05HPFF-E,Canada Pension Plan Investment Board,
003LS0-E,Petrus Securities LP,
0C3D9M-E,Atria Investments LLC,
002SMY-E,Pillar Pacific Capital Management LLC,
00FDDB-E,HRT Financial LLC,
0C9WCM-E,Fox Run Management LLC,
0DH2NF-E,MML Investment Advisers LLC,Incorrect: style eaum 
0D9273-E,Redpoint Investment Management Pty Ltd.,Incorrect: style 
06PPJY-E,Blake J. Irving,NO DATA
0CTN67-E,Skandinaviska Enskilda Banken AB (Denmark),Incorrect: eaum 
05MB8K-E,Gregory Keith Mondre,NO DATA
05V3C8-E,Herald Yun Chen,NO DATA
06Z89F-E,Lee E. Wittlinger,NO DATA
0H2Y9D-E,"SagePoint Financial, Inc. (Investment Management)",Incorrect: eaum 
05J57J-E,DZ PRIVATBANK SA,
05G875-E,BI Asset Management FondsmÌ_glerselskab A/S,Incorrect: eaum 
0GK9D1-E,D.A. Davidson & Co. (Investment Management),Incorrect: eaum 
00D16K-E,E*TRADE Capital Management LLC,
0CCSBL-E,"FDx Advisors, Inc.",Incorrect: turnover 
001207-E,Segall Bryant & Hamill LLC,
076FHD-E,ThomÌ© Asset Management & Asset Controlling,Incorrect: eaum 
0GN6R7-E,Corient Capital Partners LLC,
06D2PY-E,"Securities America Advisors, Inc.",
05FYG9-E,Vontobel Asset Management AG,Incorrect: eaum 
0B4CRQ-E,ItaÌ¼ Chile Administradora General de Fondos SA,Incorrect: eaum 
09W4DY-E,Amundi Japan Ltd.,
0GXZ6H-E,Machina Capital SAS,Incorrect: turnover 
0B82BW-E,Santander Private Banking Gestion SA SGIIC,Incorrect: eaum 
0CKYNL-E,Brown Advisory Ltd.,Incorrect: style 
00BQTC-E,LS Investment Advisors LLC,
05RQWJ-E,Kairos Investment Management Ltd.,Incorrect: eaum turnover 
0C2W81-E,Vision2020 Wealth Management Corp.,
05GNGN-E,"Wilmington Trust Investment Advisors, Inc.",
06QGFG-E,Russell Investments Canada Ltd.,Incorrect: eaum 
0GZX48-E,FinEx Investment Management LLP,Incorrect: eaum 
002GZG-E,Franklin Advisory Services LLC,
06PTFZ-E,"Horizons ETFs Management (Canada), Inc.",Incorrect: eaum 
002HYJ-E,Wilmington Trust Investment Management LLC,
05HBYN-E,Monega Kapitalanlagegesellschaft mbH,Incorrect: eaum 
0C23X0-E,Parallel Advisors LLC,
0C98WS-E,Rehmann Capital Advisory Group LLC,
003C27-E,Wilmington Funds Management Corp.,
0D5X11-E,Skandia Investment Management AB,
05HLZQ-E,Old Mutual Investment Group (Pty) Ltd.,Incorrect: eaum 
05ZHM9-E,"Harvest Fund Management Co., Ltd.",
0KYTKZ-E,Bremer Bank NA (St. Paul Minnesota Investment Management),
08CJHD-E,BlackRock Asset Management North Asia Ltd.,
00BJ81-E,Cerebellum GP LLC,Incorrect: turnover 
05FW87-E,Candriam France SAS,Incorrect: eaum 
00BQDB-E,Parkside Financial Bank & Trust,
000HPH-E,BNY Mellon Investment Adviser Inc.,
00D3JM-E,Simplex Trading LLC,
06YBC9-E,O'Shaughnessy Asset Management LLC,
0070ZJ-E,Cutler Group LP,
05FWLP-E,Invesco Asset Management (Japan) Ltd.,
09YLKZ-E,QS Investors LLC,
00FC64-E,Tiverton Asset Management LLC,
0DX2M2-E,Triad Hybrid Solutions LLC,
05G7J4-E,Skylar France SASU,Incorrect: eaum 
00BR1T-E,SignatureFD LLC,
00128H-E,Fiduciary Trust Co. International,
0HDJJC-E,Qsemble Capital Management LP,
0GWXJQ-E,Icon Wealth Partners LLC,
05FQ8L-E,Reynolds Capital Management LLC,
0CXT25-E,Lindbrook Capital LLC,
05R5ZW-E,"Samsung Asset Management Co., Ltd.",Incorrect: eaum 
0CWT1X-E,Cordasco Financial Network LLC,
09SJS1-E,ABN AMRO Investment Solutions SA,Incorrect: eaum 
00CX44-E,DBX Advisors LLC,
006N56-E,"ProEquities, Inc.",
0D8VH6-E,Berner Kantonalbank AG (Investment Management),Incorrect: eaum 
0CN24P-E,City National Rochdale LLC,
0C96P3-E,Quadrant Capital Group LLC,
05FW6P-E,HSBC Global Asset Management (France) SA,Incorrect: eaum 
0HHQBY-E,Cresset Asset Management LLC,
0GVBY1-E,Flinton Capital Management LLC,
0699FZ-E,"AssetMark, Inc.",
002J6J-E,"Deutsche Bank Securities, Inc.",
000BQ0-E,"Fred Alger Management, Inc.",Incorrect: aum 
05GDR0-E,Siemens Fonds Invest GmbH,Incorrect: eaum 
086TRK-E,PNC Capital Advisors LLC,
0GVFFW-E,Tyers Asset Management LLC,
08BL73-E,PineBridge Investments Asia Ltd.,
0C79B0-E,Executive Wealth Management LLC,Incorrect: style 
0FTHM1-E,Proficio Capital Partners LLC,
05MFWB-E,Huntington National Bank (Investment Management),Incorrect: eaum 
0693ZZ-E,Colonial First State Asset Management (Australia) Ltd.,
0GVFHV-E,Neuburgh Advisers LLC,
00DFPF-E,MetLife Investment Management LLC,
002HLZ-E,NISA Investment Advisors LLC,
0HLGT7-E,Alera Investment Advisors LLC,
0DMWDN-E,Thurgauer Kantonalbank (Invt Mgmt),Incorrect: eaum 
0GZJV3-E,Avestar Capital LLC,
001NBV-E,"PNC Bank, NA (Investment Management)",
067G8D-E,DWS Investments Hong Kong Ltd.,Incorrect: aum 
003RZM-E,"NEXT Financial Group, Inc.",
0GVFFN-E,Meadow Creek Investment Management LLC,
05G5BR-E,UBS Asset Management (Australia) Ltd.,Incorrect: eaum 
0G56MS-E,Wealthcare Advisory Partners LLC,
0GCW2M-E,"SunTrust Advisory Services, Inc.",
0FFZ67-E,Jyske Bank A/S (Investment Management),Incorrect: eaum 
0C7CHJ-E,"Carroll Financial Associates, Inc.",
09H9M4-E,Point72 Asia (Hong Kong) Ltd.,
0H2YBC-E,"Royal Alliance Associates, Inc. (Investment Management)",Incorrect: eaum 
0C3PQJ-E,Advisory Services Network LLC,
