,MI name,MI Pos,MI Market Val,DT Name,DT Pos,DT Market Val,Pos Diff (Percentage),Market Val Diff (Percent),MI Not Matched,DT Not Matched
3627,Triad Investment Management LLC,2200.0,0.304744,Triad Investment Management LLC,2200,294712.0,0,3.35,,
3628,Aeon Investment Management (Pty) Ltd.,2200.0,0.304744,Aeon Investment Management (Pty) Ltd.,2200,294712.0,0,3.35,,
3629,Advisors Management Group Inc.,2190.0,0.3033588,"Advisors Asset Management, Inc.",1009159,135186940.0,-199.13,-199.1,,
3630,Diversified Portfolios Inc,2190.0,0.3033588,"Diversified Portfolios, Inc.",2190,293372.0,0,3.35,,
3631,Portfolio Strategies Inc NY,2179.0,0.30183508,Port Capital LLC,51888,6950916.0,-183.88,-183.35,,
3632,Holt Capital Advisors L.L.C.,2177.0,0.30155804,Holt Capital Advisors LLC,2177,291631.0,0,3.35,,
3633,Compagnie Monégasque de Gestion S.A.M.,2175.0,0.301281,Compagnie de Gestion Privée Monégasque SAM,1000,98610.0,74.02,101.36,,
3634,DRW Holdings LLC,2161.0,0.29934172,"GS Investments, Inc.",25190,3374452.0,-168.4,-167.41,,
3635,New England Investment & Retirement Group Inc.,2150.0,0.29781799999999997,"New England Investment & Retirement Group, Inc.",2150,288014.0,0,3.35,,
3636,"Acacia Inversion, SGIIC, S.A.U.",2147.0,0.29740244,Acacia Inversión SGIIC SA,2151,288149.0,-0.19,3.16,,
3637,Brickley Wealth Management,2135.0,0.2957402,Brickley Wealth Management LLC,2135,286005.0,0,3.35,,
3638,Opes Advisors Inc.,2123.0,0.29407796,"Opes Advisors, Inc.",2123,215633.0,0,30.78,,
3639,NewSquare Capital LLC,2120.0,0.29366240000000005,NewSquare Capital LLC,2120,283995.0,0,3.35,,
3640,Ullmann Financial Group Inc.,2117.0,0.29324684,"Ullmann Financial Group, Inc.",2117,283593.0,0,3.35,,
3641,"ARGA Investment Management, LLC",2075.0,0.287429,Margaret L. Johnson,324158,44688421.88,-197.46,-197.44,,
3642,Jentner Corp.,2070.0,0.2867364,The Jentner Corp.,2070,277297.0,0,3.35,,
3643,Personal Wealth Partners LLC,2066.0,0.28618232,Investment Partners Ltd.,31491,4218534.0,-175.37,-174.59,,
3644,Bay Harbor Wealth Management LLC,2065.0,0.2860438,Bay Harbor Wealth Management LLC,2065,276627.0,0,3.35,,
3645,Carlton Hofferkamp & Jenks Wealth Management LLC,2063.0,0.28576676,"Carlton, Hofferkamp & Jenks Wealth Management LLC",2063,276359.0,0,3.35,,
3646,NFC Investments LLC,2062.0,0.28562824,NFC Investments LLC,2062,276226.0,0,3.35,,
3647,"Rosenberger, Langer & Cie Capital Management",2045.0,0.28327340000000006,"ROSENBERGER , LANGER & CIE Capital Management GmbH",2045,273948.0,0,3.35,,
3648,KCS Wealth Advisory LLC,2020.0,0.2798104,KCS Wealth Advisory LLC,2020,270599.0,0,3.35,,
3649,"JPMorgan Gestion, SGIIC, SA",2004.0,0.27759408,JPMorgan Gestión SGIIC SA,79587,10661475.0,-190.18,-189.85,,
3650,Telemetry Investments L.L.C.,2000.0,0.27704,Telemetry Investments LLC,2000,267920.0,0,3.35,,
3651,Swiss Fund Advisers AG,2000.0,0.27704,swiss fund advisors AG,2000,267920.0,0,3.35,,
3652,Salm-Salm & Partner GmbH,2000.0,0.27704,Salm-Salm & Partner GmbH,1999,267786.0,0.05,3.4,,
3653,Whetstone Capital Advisors LLC,2000.0,0.27704,Whetstone Capital Advisors LLC,2000,267920.0,0,3.35,,
3654,RiverGlades Family Offices LLC,2000.0,0.27704,RiverGlades Family Offices LLC,2000,267920.0,0,3.35,,
3655,Quinn Opportunity Partners LLC,2000.0,0.27704,Quinn Opportunity Partners LLC,2000,267920.0,0,3.35,,
3656,Powell Capital LLC,2000.0,0.27704,Powell Capital LLC,1900,248140.0,5.13,11.01,,
3657,"Solventis S.G.I.I.C., S.A.",1998.0,0.27676296,Solventis SGIIC SA,2003,268322.0,-0.25,3.1,,
3658,JJJ Advisors Inc,1993.0,0.27607036,"JJJ Advisors, Inc.",1993,266982.0,0,3.35,,
