factset_entity_id,Name,Position,Style,Turnover,EquityAssets,QualityRating
002HTG-E,Great-West Capital Management LLC,0,GARP,Very Low,10731.90096,88
002HTL-E,"Hendley & Co., Inc.",27475,GARP,Very Low,199.936524,60
002HVY-E,Meyer Handelman Co. LLC,37700,Yield,Very Low,1967.986525,74
002HVZ-E,"A. Montag & Associates, Inc.",4650,GARP,Low,1108.602907,62
002HWY-E,"Pittenger & Anderson, Inc.",31395,GARP,Very Low,1290.135472,67
002HX7-E,"Rice, Hall, James & Associates LLC",0,GARP,Low,3503.51421,71
002HXB-E,Rothschild Investment Corp.,2000,GARP,Very Low,875.733413,66
002HXC-E,Harvest Management LLC,0,Hedge Fund,High,216.558605,20
002HXG-E,"Charles Schwab Investment Management, Inc.",910000,Index,Very Low,158328.7798,95
002HXZ-E,Teachers Retirement System of the State of Kentucky,21638,GARP,Low,8275.745838,68
002HY2-E,"The Trust Company of Toledo, N.A.",11465,Yield,Very Low,397.655509,62
002HYD-E,"Wells Capital Management, Inc.",459199,Growth,Low,71822.30193,88
002HYG-E,"David Wendell Associates, Inc.",17607,GARP,Very Low,644.487242,64
002HYJ-E,Wilmington Trust Investment Management LLC,172393,Yield,Low,9149.171967,70
002HYK-E,"Wilmington Trust, FSB (Delaware) (Investment Management)",0,Undefined,Medium,0,0
002HYS-E,"ZWJ Investment Counsel, Inc.",0,GARP,Very Low,1225.786731,72
002HZH-E,Beacon Trust Co.,0,GARP,Medium,0,0
002HZL-E,"Birinyi Associates, Inc.",0,GARP,Very Low,253.504494,61
002HZX-E,Chilton Investment Co. LLC,0,Hedge Fund,Very Low,3179.360882,58
002J01-E,Congress Asset Management Co. LLP,328289,GARP,Very Low,7971.387584,80
002J07-E,Choate Investment Advisors LLC,2402,GARP,Low,1733.969053,67
002J0K-E,Fiduciary Trust Co.,62856,GARP,Very Low,3746.604286,73
002J0N-E,First National Bank of Chester County (Pennsylvania),0,Undefined,Medium,0,0
002J0Q-E,"Fort Washington Investment Advisors, Inc.",16084,Value,Very Low,9408.323958,80
002J1K-E,"Howe & Rusling, Inc.",344,GARP,Low,596.422245,52
002J23-E,"Loring, Wolcott & Coolidge Fiduciary Advisors LLP",38464,GARP,Very Low,6583.466336,74
002J2V-E,"Moody, Lynn & Lieberson LLC",14461,GARP,Low,1001.925138,65
002J33-E,"National Investment Services, Inc.",0,Value,Low,108.592231,44
002J3B-E,OakBrook Investments LLC,6522,Quant,Low,1754.488356,47
002J3K-E,Para Advisors LLC,0,Hedge Fund,Medium,0,0
002J3P-E,Voya Investments LLC,0,Growth,Medium,7.15153,45
002J3W-E,Prospector Partners LLC,0,Hedge Fund,Very Low,707.308874,48
002J41-E,Renaissance Technologies LLC,100000,Hedge Fund,Medium,119350.634,59
002J4C-E,"Bank of the West (San Francisco, CA Investment Management)",7229,GARP,Very Low,871.750796,66
002J4D-E,Fayez Sarofim & Co.,643159,Yield,Very Low,19130.56739,87
002J55-E,"TWIN Capital Management, Inc.",18420,GARP,Very Low,2198.370007,73
002J5L-E,Waddell & Reed Investment Management Co.,136144,Growth,Low,43601.24716,85
002J5P-E,Westpeak Global Advisors LP,0,Undefined,Medium,0,0
002J5S-E,"Wilbanks, Smith & Thomas Asset Management LLC",3392,GARP,Medium,1704.408424,49
002J5V-E,"Zacks Investment Management, Inc.",246199,GARP,Low,4951.510431,68
002J62-E,AJO LP,7085,Quant,Medium,21897.47725,58
002J67-E,Osborne Partners Capital Management LLC,3415,GARP,Very Low,552.565552,64
