FactSet Entity ID,Institution_name,AI_Targeting vs. Profile Page
0C88Z6-E,Clarkston Capital Partners LLC,
002J01-E,Congress Asset Management Co. LLP,
062YG9-E,DNCA Finance SA,
001HBR-E,First Manhattan Co.,
0DQXNL-E,Foord Asset Management (Singapore) Pte Ltd.,
002J0Q-E,"Fort Washington Investment Advisors, Inc.",
05H2NN-E,Franklin Bissett Investment Management,
001ZY1-E,Frontier Capital Management Co. LLC,
000KVL-E,"GAMCO Asset Management, Inc.",
0CSDC8-E,GLC Asset Management Group Ltd.,
05HQ7S-E,Guardian Capital LP,
002JM1-E,Hardman Johnston Global Advisors LLC,
076CB3-E,Heartwood Wealth Management Ltd.,
05HL2P-E,"Industrial Alliance Investment Management, Inc.",
000N8F-E,Janus Capital Management LLC,
002HTZ-E,Kayne Anderson Rudnick Investment Management LLC,
05J6LR-E,Liontrust Investment Partners LLP,
07FLWG-E,Liontrust Investments Ltd.,
002HGH-E,"Mairs & Power, Inc.",
0BTH0V-E,Mensarius AG,
002GTQ-E,"New England Asset Management, Inc.",
05K6NQ-E,Nikko Asset Management Australia Ltd.,
00566B-E,Northern Trust Global Investments Ltd.,
001YT0-E,Ohio Public Employees Retirement System,
0DLC8B-E,Paradice Investment Management LLC,
06LRGY-E,Platypus Asset Management Pty Ltd.,
05FQ8V-E,Polaris Capital Management LLC,
075SG7-E,"Robert W. Baird & Co., Inc. (Private Banking)",
002WCB-E,Santa Barbara Asset Management LLC,
00CF6T-E,Saratoga Research & Investment Management,
05K304-E,Schroder Investment Management Australia Ltd.,
000WMY-E,Snyder Capital Management LP,
001M89-E,"Sound Shore Management, Inc.",
001ZTT-E,SouthernSun Asset Management LLC,
05HMTP-E,Sprucegrove Investment Management Ltd.,
001MYB-E,St. Denis J. Villere & Co. LLC,
002HGT-E,"SunTrust Banks, Inc. (Wealth Management)",
007RXL-E,"TD Waterhouse Private Investment Counsel, Inc.",
05V3BF-E,Tata Asset Management Ltd.,
05K31K-E,The Norinchukin Bank (Investment Management),
00104F-E,"Thornburg Investment Management, Inc.",
0020GL-E,Vanguard Fiduciary Trust Co.,
0D04VK-E,VinaCapital Investment Management Ltd. (Invt Mgmt),
0032WK-E,"Wedgewood Partners, Inc.",
0010BP-E,"Weitz Investment Management, Inc.",
085HDR-E,AG2R LA MONDIALE GESTION d'ACTIFS SA,
000BPX-E,APG Asset Management NV,
085TCH-E,ArrowMark Colorado Holdings LLC,
05LV4J-E,"Bares Capital Management, Inc.",
0DKF4G-E,Bill & Melinda Gates Foundation Trust (Investment Management),
0DX2LP-E,Charles-Lim Capital Ltd.,
001CVY-E,"Cohen & Steers Capital Management, Inc.",
001MJ6-E,Colorado Public Employees' Retirement Association,
0071ZN-E,"Commonwealth Equity Services, Inc.",
003KS4-E,Conestoga Capital Advisors LLC,
05FWD3-E,Covéa Finance SAS,
002GBT-E,"D. F. Dent & Co., Inc.",
00482K-E,DSM Capital Partners LLC,
0GNHJ3-E,Douglas Lane & Associates LLC,
0DYG3Z-E,Factory Mutual Insurance Co. (Investment Portfolio),
001LWQ-E,"Fenimore Asset Management, Inc.",
00128H-E,Fiduciary Trust Co. International,
06MCL2-E,Fondsmæglerselskabet Maj Invest A/S,
00356P-E,Franklin Templeton Investments Corp.,
05H5ZH-E,Fédéral Finance Gestion SA,
0K94J5-E,Generali Investments Partners SpA SGR (Germany),
05H8J8-E,Goldman Sachs Asset Management International,
