contact_id,factset_person_id,discrepancy
57d38cbf91aea376a7b8c052,0CDJWB-E, --- [0] value 
,07L4XZ-E,
57d38cfc91aea376a7b9eb31,05PW8B-E,
57d38c6391aea376a7b7056b,05KFQG-E,
57d38cfb91aea376a7b9e55f,05KFQN-E,
,,
,07FTDR-E,
,0H04V0-E,
,0BTPBL-E,
,,
,,
,09RMFJ-E,
59011c309a6563a6a11f84da,0GZV2Q-E,
,05LXXZ-E,
57d38c6391aea376a7b70561,05KFQL-E,
57d38cfc91aea376a7b9eb25,05K3HV-E, --- [0] value  --- [0] value  --- [0] value  --- [0] value  --- [0] value 
,05KFQC-E,
57d38cd891aea376a7b93ff8,0DSYWR-E,
,07L4Y4-E,
,,
5b1948d95a83dcea4301ea1e,0JLM2C-E, --- [0] value 
57d38c9691aea376a7b8082a,07HXQZ-E, --- [0] value  --- [0] value  --- [0] value  --- [0] value 
,,
57d38c7491aea376a7b75762,067JFV-E, --- [0] value 
,07L4Y0-E,
,0GYQVC-E,
,07NB9X-E,
,09Z46Y-E,
57d38cd591aea376a7b91f77,0DG4CL-E,
57d38cfc91aea376a7b9eb30,05PW85-E, --- [0] value  --- [0] value  --- [0] value  --- [0] value 
57d38c7a91aea376a7b76f0b,06GJ6L-E,
5ae8e4a0ed2c6a3132743d94,066Z91-E,
57d38cd891aea376a7b93ff7,0DSYWL-E, --- [0] value  --- [0] value 
,,
59026db79a6563a6a19203dc,0GZZBB-E,
,0DG6KD-E,
57d38c9d91aea376a7b827ed,081ZQ9-E, --- [0] value  --- [0] value  --- [0] value  --- [0] value 
,0GZCVB-E,
,,
57d38c6291aea376a7b6ff00,05K5WK-E,
57d38cc791aea376a7b8e824,0CVL5N-E,
,0FQYB3-E,
57d38c6591aea376a7b71a2e,05NQDP-E,
57d38c9c91aea376a7b81b10,07N815-E,07N815-E --- DB Region Code Global  --- Profile Region Code: ['U.S.'] 
57d38ce091aea376a7b967a0,0FHZ8C-E,
57d38cc691aea376a7b8df7f,0CR8NH-E,
57d38c6291aea376a7b7001d,05G7KV-E,05G7KV-E --- DB Region Code Global 05G7KV-E --- DB Region Code Canada 
5b0ebd4159f0a16f5b3c19ad,0JL0LF-E,
57d38c5a91aea376a7b6e9b5,05G7P5-E,05G7P5-E --- DB Region Code Global  --- Profile Region Code: ['U.S.'] 
5b97d96b4c0e1a2fa62bdfb5,07H97R-E,
,0JZQ1R-E,
,0JDQS5-E,
57d38cfb91aea376a7b9e590,06BCJM-E,06BCJM-E --- DB Region Code Global  --- Profile Region Code: ['U.S.'] 
,,
57d38c5a91aea376a7b6ec44,05GG0J-E,
57d38cf491aea376a7b9bb00,05M93X-E,
,0GWK76-E,
57d38cf691aea376a7b9d69c,05GG0G-E,
,0B8SK4-E,
,06NM0D-E,
57d38cf491aea376a7b9bc2f,07MJQN-E,
,0GGF8Q-E,
57d38c6491aea376a7b71636,05M96C-E,
57d38cf491aea376a7b9bb96,05M8LH-E,
5aeb86baead557bbfdf2fc30,0JHWJP-E,
57d38c6591aea376a7b71a8f,05NY79-E,
57d38cf491aea376a7b9bc76,0C7D5D-E,
57d38cf491aea376a7b9bba0,05KHZL-E, --- [0] value 
57d38cf491aea376a7b9bc89,0CR7NQ-E,
,06NM0J-E,
57d38c6c91aea376a7b7324f,05X7SG-E,
57d38c6491aea376a7b70d7e,05L64H-E,
57d38cf791aea376a7b9db30,0DTMYV-E,
57d38c5a91aea376a7b6ec3d,05GFZ4-E,
57d38c6d91aea376a7b73a8b,05ZHB1-E,05ZHB1-E --- DB Region Code U.S.  --- Profile Region Code: ['Global']  --- Profile Sector: [] | DB Sector: Industrial Services  --- Profile Sector: [] | DB Sector: Non-Energy Minerals  --- Profile Sector: [] | DB Sector: Process Industries 
57d38cf691aea376a7b9da39,05X7TC-E,
57d38c6491aea376a7b7160c,05M8LB-E,
57d38cfc91aea376a7b9ef59,08BPW4-E,
,0JS0W7-E,
57d38cd491aea376a7b91c8d,0DFBY4-E,
,,
57d38cf691aea376a7b9da7d,06SV92-E,
57d38cf791aea376a7b9dbf0,05GFZN-E, --- Profile Region Code: ['U.S.'] 
59669f745f20d4a8bbf31157,0H64M0-E,
57d38cf391aea376a7b9b794,0GBN5W-E,
57d38cf591aea376a7b9cbf8,001Q41-E,
57d38c5a91aea376a7b6ec35,05GFYJ-E,
57d38ccd91aea376a7b8f64e,0D0N1H-E,
57d38c5791aea376a7b6d21b,05GG0D-E,
57d38c9491aea376a7b7f103,07BD1G-E,
57d38cf491aea376a7b9bbbe,066W7N-E,
,,
57d38cf591aea376a7b9ccdf,07J0FY-E,
57d38c6491aea376a7b71648,05M9HR-E,
57d38c6491aea376a7b71601,05M8C7-E,
,0GGF7R-E,
,0021HR-E,
,0GWK7K-E,
,0GGF8Z-E,
,,
57d38c6d91aea376a7b7422e,061051-E,
57d38cf491aea376a7b9bba7,05M8JT-E,
57d38cf491aea376a7b9bb03,05X7S7-E,
57d38c6491aea376a7b71637,05M96X-E,
58b55c0d84b0cbe172095bcd,0GWFXJ-E,
,0B320K-E,
,,
57d38c8d91aea376a7b7d316,0D1DYD-E,
57d38c6491aea376a7b71645,05M9HK-E,
57d38cf591aea376a7b9cc06,05GFZ8-E,
,0GFDK8-E,
57d38cd891aea376a7b94105,0DTHFQ-E,
57d38c6591aea376a7b71bb9,05PF2G-E,
57d38c5a91aea376a7b6ec39,05GG07-E,
57d38cee91aea376a7b9a4cc,0G7Y68-E,
57d38cf691aea376a7b9da17,05M858-E,
57d38c7d91aea376a7b78fd9,06NLZW-E,
57d38cf491aea376a7b9bbec,06JZNL-E,
57d38cf691aea376a7b9da27,0855HC-E,
57d38cf491aea376a7b9bcc4,0DFRTZ-E,
,,
57d38cf591aea376a7b9cd95,0DTHHQ-E,
57d38cf491aea376a7b9baff,05M812-E,
57d38cfc91aea376a7b9eef8,05H6S8-E,
57d38cf791aea376a7b9dabb,082XLS-E,
57d38cfb91aea376a7b9e3a7,0GFDDM-E,
57d38cf691aea376a7b9d43c,0D4MCB-E,
,,
,,
57d38ced91aea376a7b99f55,0G5QM9-E,
57d38cf591aea376a7b9cc3b,05TVTP-E,
,05PG59-E,
,0GWK7X-E,
57d38c5891aea376a7b6d7e0,004H4W-E,
57d38cf591aea376a7b9cc2d,05PFWB-E,
57d38c8b91aea376a7b7c4e3,0702CN-E,
57d38c6491aea376a7b71616,05M8SC-E,
57d38c7d91aea376a7b78fc8,06NL56-E,
,05K990-E,
57d38c7b91aea376a7b7778b,06HZB2-E,
,05KFCJ-E,
57d38cf491aea376a7b9bbc5,05VKHR-E,
57d38ca591aea376a7b84d1a,09SCLP-E,
57d38c5791aea376a7b6d20f,05GG08-E,
57d38c7c91aea376a7b78643,06L3ZH-E,
5abd63b0228eb41542148d85,0J9CC0-E,
57d38cf691aea376a7b9d916,0C2G7T-E,0C2G7T-E --- DB Region Code Global 
,,
57d38c9691aea376a7b80743,07HRZX-E,
57d38cf691aea376a7b9d2d0,05M9H8-E,
57d38cf691aea376a7b9d6cd,05WGH9-E,
57d38cb691aea376a7b89a40,0BZ66T-E, --- [0] value 
57d38cf691aea376a7b9da45,05ZQF0-E, --- [0] value 
57d38cae91aea376a7b87831,0BF8LG-E,
,,
57d38cd791aea376a7b93d97,0DRW35-E,
5a6a63f15890ddad1f22cba9,05K77Z-E,
5ae8e4deed2c6a313274748f,06JXKQ-E,
,0BJNPH-E,
57d38c6d91aea376a7b73cd8,05ZZ77-E, --- [0] value 
57d38c7391aea376a7b74e0b,063LMR-E,
57d38c6b91aea376a7b7281a,05SSRP-E,
57d38c5a91aea376a7b6ea6e,05G91R-E,
5847ed99c6f2f2bd34c45b1c,0GPCH6-E,
,,
57d38c8491aea376a7b7aefb,06VSXQ-E,
5c91057712a63129cd68647f,0KQSN3-E,
57d38c6b91aea376a7b7281f,05SSXY-E,
,06DP3N-E,
5a8f4ce29fca31fae2ab0b20,0J2WNQ-E,
5a909e139fca31fae2ade0bb,0J34QW-E,
57d38c6591aea376a7b7182b,05MTWQ-E,
,,
589da100f8044ce096cf2d65,0GV41S-E,
57d38c7391aea376a7b75345,06CDSP-E,
5a95e4869fca31fae299c716,0J3QPZ-E,
57d38ccf91aea376a7b907b4,0D6M8L-E,
57d38c8491aea376a7b7a809,06TM13-E,
,,
57d38ca691aea376a7b84fd5,09TJ7V-E,
57d38ca591aea376a7b84fd2,09TJ4D-E,
57d38c6491aea376a7b71186,05LPHL-E,
57d38ca591aea376a7b84fcf,09THYX-E,
59011a919a6563a6a11ebb65,05HKBM-E,
57d38c8491aea376a7b7ab10,06V4TJ-E,
,0BJ11Q-E,
57d38c6a91aea376a7b72078,05QGB5-E,
,,
,05VWDC-E,
57d38c7591aea376a7b76c71,06G19V-E,
57d38cb491aea376a7b885f2,0BN978-E,
57d38ce091aea376a7b96219,0FDTGN-E,
57d38c7591aea376a7b76813,06F3VG-E,
57d38c6d91aea376a7b73a24,05ZDZR-E,
57d38cce91aea376a7b901d3,0D4T1H-E,
5ae39e57ed2c6a3132042bf6,0JH2XL-E,
57d38c8e91aea376a7b7de40,075BXT-E,
57d38ca591aea376a7b84fcb,09THR4-E,
58396d1c26fee671a06fcc7e,0GNSC6-E,
,,
5a6a63895890ddad1f22ae1d,0HY0TT-E,
57d38cde91aea376a7b955c6,0F1C4L-E,
57d38ced91aea376a7b99ef1,0G5MKD-E,
5b51fa48a9277392a6f4c00f,0JSF8F-E,
57d38c5b91aea376a7b6f5b7,05H69J-E,
57d38c8491aea376a7b7a99c,06TYGF-E,
57d38ced91aea376a7b9a063,0G62M8-E,
